rank,plays,likes,comments,duration_s,post_date,code,caption
1,4118185,187459,996,6.5,2025-10-02,DPSunpUCe2j,"prove it on @runifyyy 😈"
2,2021721,59777,948,5.8,2025-05-09,DJcIj7gu0nE,"this is so sick"
3,858299,35573,315,7.8,2025-09-29,DPLSTnFiVPH,"@runifyyy quickest mood killer…"
4,753421,44608,633,6.0,2025-09-30,DPPctuUkwTb,"Call them out @runifyyy"
5,695361,13743,336,5.8,2025-04-21,DIti2PPPcxw,"are we cooked???"
6,689728,28540,44,6.8,2025-08-14,DNUgz1BJH4F,"she didn’t call back… still don’t know why 😭"
7,639539,37929,379,6.0,2026-01-15,DThLFDREZ6e,"Tag that friend 🤣 @runifyyy"
8,492561,37218,238,9.2,2025-10-16,DP4Y6zLAQlf,"Me selling a half marathon like it’s a coffee run @runifyyy"
9,491837,5525,119,5.8,2025-05-06,DJUJkHxC0-7,"this is so cool!"
10,427740,7429,860,5.8,2025-07-08,DL1LXmKJeyY,"Light work for me"
11,423405,21332,32,6.8,2025-08-02,DM3pAiYzT0f,"it didn’t go well…"
12,369752,19743,92,7.2,2025-10-02,DPSurPcibZR,"Am i on the only one?"
13,359685,39013,46,23.3,2025-10-15,DP2I3cpCKgK,"Bro never misses a chance to humble me @runifyyy"
14,263948,21486,61,7.0,2025-10-15,DP17K5NAcNm,"Long run? Nah; long sleep @runifyyy"
15,213209,16651,130,7.0,2025-11-14,DRB4EiriZ1q,"verse me on @runifyyy lil bro"
16,176178,2914,141,6.8,2025-06-04,DKd59d_JhFm,"bro are we fr? . . . #running #runner #fitness #ranks #gaming"
17,89708,2106,124,5.8,2025-04-22,DIwXFRpN6cz,"tag a bronze friend 🤣"
18,70572,8662,13,23.2,2026-01-22,DTzxYi9iXPT,"can’t be serious @runifyyy"
19,54904,3336,22,6.5,2026-01-16,DTjQ5zlkm2_,"try me @runifyyy"
20,31745,1285,10,9.4,2025-10-02,DPS7uyriQOP,"mistakes were made…"
21,27406,359,28,5.8,2025-04-21,DItOO4xKYZs,"are we serious..."
22,24819,214,20,6.0,2025-08-01,DMzXPFroMwf,"I thought I ran fast 😭"
23,22929,291,11,5.8,2025-05-01,DJGk-cgNKDn,"I'm so cooked..."
24,22688,488,13,5.1,2025-04-15,DIdOg4ipzxp,"What rank are you?"
25,22567,307,15,5.8,2025-04-21,DIua56ROmww,"This is crazy..."
26,21257,454,47,5.7,2025-07-20,DMT3aR3Nlhv,"send them this"
27,20183,397,34,5.9,2025-05-26,DKIFCNcPqaF,"Comment “Rank” to get your running rank 😈"
28,16584,297,17,5.6,2025-06-02,DKakO8HvvPv,"What rank are you???"
29,16424,195,4,5.5,2025-05-30,DKS--JGsvi6,"#holyairball 😭"
30,15655,162,13,5.8,2025-05-08,DJYkQZaiTF6,"tag ur bronze friend"
